 ,,,,,,,,,,,
Date,Message,Liz,Kaew,Maddie,Anouk,Holly,Lucinda,Leah,Stefania,Mika,Comments
7.05.26,Please read the email about cat/dog robert gordon issue date 7/05/26- if someone come in with this issue please apologise and give them a refund. And let me know please. Kaew,🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
7.05.26,Sale Owl keychain - Barcode is on the receipt printer.,🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
22.04.26,hey guys! does anyone know how long the tea towel for jasmine has been in the cupboard? i'm unable to ring bc of the phone but i dont see anything in customer req :),🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
26.03.26,"I have relocated few items so, please, take time to open all the cabinet and have a look. Also if you find a better spot, feel free to relocate them again.",🌊,KP,,,👽,,/ᐠ｡ꞈ｡ᐟ\,✨,,
20.03.26,"If someone will have time during her shift, it would be great to re print the correct label to put into the cabinets for facilitate find the items. Thank you!",🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
14.3.26,The monitor (computer sceen) was spazing when I opened this morning - Edit: It has lines all over the screen today 24.03.26,🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
13.03.26,"hey guys! i don't think we should leave bubble wrap around things that are on display, some of the trinkets were wrapped, it tends to look messy and customers can't see the design:)",🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
,,,,,,,,,,,
01.03.26,"The steam mop has finally arrived at our store! 🎉 Please take good care of it. Remember to wash the mop pad after each use.

To use it:

1. Wait for the light to stop blinking and become steady (this means it's ready to use).

2. Press the power button, then press the lower steam button.

3. Press the handle to release steam.

For more detailed information, refer to the manual, which I’ve placed under the computer screen on the counter.

Thank you! 😊",🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
25.02.25,"hey guys! try not to leave empty display stands around, either display something new or remove :) also a small thing, keep a look out for the same brand/product that can be next to each other when applicable. e.g. animal erasble pens on the peg board, there are a few variations but they're in different areas with random products seperating them, easier for customers and looks better when they're together :)     ",🌊,,,,👽,lm,,✨,,
,,,,,,,,/ᐠ｡ꞈ｡ᐟ\,,,
,,,KP,,,,,/ᐠ｡ꞈ｡ᐟ\    ,,,
,,,,,,,,,,,
23.02.25,If customers buy 2 FACE MUGS they GET 1 FREE COASTER!,🌊,KP,,,👽,lm,,✨,,
20.02.26,"Hi everyone! Please double-check items before placing them inside the cabinet on stock delivery day. Make sure to verify whether the item is already on display. After making a sale, remember to replace the items, especially mugs. It’s important to ensure that everything is visible for customers and that nothing is hidden inside the cabinet. Thanks!",🌊,KP,,,👽,lm,,✨,,
5.02.26,I tried to use the speaker but just one as I thought soemthing might be intere between the two and it works just fine. I used the one on top of the clothes. I do not know what happened.,🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\    ,✨,mj,
29.01.24,"There is a bag in the closed "" FOR WAREHOUSE"" where I put 
1) old decoration not used for ages
2) broken items to let Kaew decide if to keep it, fix it or throw away
If you think are usefull items to keep in the shop, feel free to put it back. 
",🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
29.01.25,"Spotify still not working properly, I have tried to forget bloothooth devices, re connected them, try everything pretty much. 
Perhaps tomorrow 30.01.26 Mark will jump in the shop to have a double check on it. 
Also ask him to check on the phone, it is not working again and I am sure it is just a issue with cables.
",🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
29.01.26,"In the attempt to looking for the "" lost EftPOS"" , I have cleaned and re organized the drawers. Please take a couple of minutes to open them all and check what it is inside. Feel free to re design the space in more functional way as you wish.
",🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
27.01.26,hellooo guys! I found an empty hanger on the tee rack halfway through my shift when I hadnt sold any tees. I  think the tee may have been stolen as noticed the ones next to it had no security tags. I think we should try to tag at least all the full price tees so it doesnt happen again - its hard to watch when it gets busy :),🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
22.01.26,"Hi Guys! I've been having major issues with the two WONDERBOOMS going through frequent periods of cutting in and out of sound choppily, to the point where you can barely hear the song. Is anyone else struggling with this issue, and if so how have you fixed it? I've tried resetting the bluetooth, resetting the connection between speakers, turning them off and on again, letting them sit without playing, but the issue still won't go away. Any ideas on how to fix this please? Thank you!! P.S.: It seems to be an issue with the computer, as both speakers work exceptionally when connected to a phone.  --Mika-",🌊,KP,,,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,"Same here, I have to connected with my personal phone for the rest of the day --Stefania--"
15.12.25,"Hey guys, i noticed a lot of the cards were placed in random areas in the store. try keep same cards together and check the paper on the counter if ur unsure which cards go on the wooden spinner:)",🌊,KP,,ᓚᘏᗢ,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
11.12.25,"Hi guys! We just got a memorandum from QVB about track maintanence on Town Hall station, which will be closed down entirely from 13-15 of December. Hopefully everyone has alternate transport options! ",🌊,KP,,ᓚᘏᗢ,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,"Noted, Thanks for the info!"
08.12.25,thank you for the biscuits regina!!,🌊,KP,,ᓚᘏᗢ,👽,😋,😋,✨,mj,You're welcome!! Glad you guys enjoyed it ^^ Thanks queen!
04.12.24,"If you have time during your shift, go through the stock and replace what is missing on the shelves. Thank you for your hard work and collaboration. ✨",🌊,KP,,ᓚᘏᗢ,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
04.12.25,"Please, when you realize items are not prized, take some time to make the tag and prize them. ",🌊,KP,,ᓚᘏᗢ,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
4/12/25,Guys please just remember that it is only those specific women's shirts that have the $15 dollar sale - a customer came in today because she had bought a mens shirt because someone told her all t-shirts were $15.,🌊,KP,,ᓚᘏᗢ,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
27/11/25,Please make sure you put the price on the products - I came in on Thursday 27/11/25 and found that a lot of items had no price. So many customers picked up the items and asked how much?  - Kaew,🌊,KP,,ᓚᘏᗢ,👽,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
13/11/25,Christmas Tree - Please turn the light on and off each day. The one near the counter the switch is inside the counter. (on the far right) The one near pegboard you have to take the plug out from behind Eat my socks.,🌊,KP,,,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,"Hi, no need to plug in or unplug the one near the pegboard. it automatically turns on and off with the store lights, Thanks!"
6/11/25,The Good Twin brand xmas cards can go on the spinner as this brand is from the same supplier. Need to make a bit more space.,🌊,KP,,,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,
03.11.25,"Hey guys, i was able to receive a call so it seems like the phone is working okay. Probably best that we still ask for customers emails regarding requests for the time being just in case :) ",🌊,KP,,,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,mj,i tried to call myself and it also went through unlike last week :)
31.10.25,"Hello, as you may have noticed, our telephone line is currently not connected and causing difficulties to contact customer by phone. Please ask for customer email to send requested item arrival notification at the time being until our phone is fixed. or alternatively, we can ask customer to come and visit us again on next delivery day after lunch time (stocks usually arrives after 1 pm) which is either Monday or Friday. Thank you.",🌊,KP,,,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
26.10.25,"Hi everyone, Lots of new stock coming in lately! I've been tidying up our storage area, but space keeps changing as old and new stocks moves in and out. Please take a moment at the start of your shift to check the storages and get familiar with where everything is. It'll make things easier for you. Thank you!",🌊,KP,,,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
16.10.25,"Hey guys! I've rearranged the happy socks display so it's more organised and easier to keep tidy. I noticed the socks were grouped by design rather than size. I switched it back so they are grouped by size, as there are only so many of the same designs and it ends up looking a bit messy. As mentioned previously, please make sure to check when tidying at EOD that they are all in order. Thanks! ",🌊,KP,,,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
12.10.25,"Hi again, fellas! We've got new light-up porcelain white houses with chimneys. I've opened one for display and marked it with a red sticker on the back. Please remember to turn the light on every morning and switch it off at the end of your shift. Thanks a lot!",🌊,KP,,,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
11.10.25,"Hi team,",,KP,,,,,/ᐠ｡ꞈ｡ᐟ\,✨,,
,"As you might have noticed, the sale rack has been taken back and replaced by the shopping bag stand. This means we now have less space for T-shirts, so I've arranged the clothing sections a little bit;",🌊,KP,,,hg,lm,/ᐠ｡ꞈ｡ᐟ\,,,
,"- Men's and Women's T-shirts are now combined on the long clothing rack (previously men's tees), with women's jumpers placed in between to separate the sections.",,KP,,,,,/ᐠ｡ꞈ｡ᐟ\,,,
,"- The shorter rack (previously for women's tees) is now used as the adult sale rack for raincoats, dresses, tees, etc.",,KP,,,,,/ᐠ｡ꞈ｡ᐟ\,,,
,- Kid's sale items are displayed right next to it.,,KP,,,,,/ᐠ｡ꞈ｡ᐟ\,✨,,
,"- In the Kid's section, I've swapped the raincoats to the lower rack and placed all the dresses, vests, and jumpers by other brands on the top.",,KP,,,,,/ᐠ｡ꞈ｡ᐟ\,,,
,- I've also hung the bird and frog hanging bells next to the kid's jumpers - Please be extra careful when working around them.,,KP,,,,,/ᐠ｡ꞈ｡ᐟ\,,,
,"Since our space is smaller than other locations, please display only 2 sizes per T-shirt design to keep the display tidy and avoid it looking overcrowded.",,KP,,,,,/ᐠ｡ꞈ｡ᐟ\,,,
,Thanks for your help in keeping everything neat and organised!,,KP,,,,,/ᐠ｡ꞈ｡ᐟ\,,,
05.10.25,"Hi girls, I've put all the tea light house boxes in the adult puffer jacket cabinet. You can also find a few under the mushroom boxes. Please throw away the empty boxes if you sell one without it's box. Thanks!",🌊,KP,,jc,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
25/09/25,MTt Glasses cases barcodes are inside the item.  ,🌊,KP,,jc,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
24.08.25,"Hi girls, I've been reorganizing some things in the store and have moved a few items around. The small shopping bags have been relocated from the kids raincoat section to the bottom drawer next to the kids hangers. It would be a good idea for all of us to go through the drawers and cabinets to check what's inside and see if anything needs a clean or tidy up. Also, please note: we should not use the acrylic stand for books, as it can leave marks, dents, or scratches. Kaew has already received a customer complaint about this. Thanks!🫶",🌊,KP,,jc,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
18.08.25,Hey guys! If you're putting in bags for store needs double check the cabinet if we already have enough :),🌊,KP,,jc,hg,lm,/ᐠ｡ꞈ｡ᐟ\,✨,,
14.08.25,"Also just a reminder to please place best selling products it prime positions (mid level shelves) that are easily visable. For example the Lala Land Sydney tray was located on a bottom shelf on a tall stand, meaning it was hidden from view unless you crouch down. Also the Capybara mug was on the top shelf, again, a popular product but easily missed being up there.",🌊,KP,,jc,hg,lm,💖,✨,,
14.08.25,Hi everyone! Please make sure to check the happy socks display often and make sure they are all arranged by size so it's easy for customers to find the right ones. They were a bit of a jumbled mess today. Thanks :),🌊,KP,,jc,hg,,💖,✨,,
04.07.25,"FYI, Kaew and Mark are going overseas next wednesday 9/7/25 for 3 weeks. If you need to call them, please use Whatsapp as you might get charged for international calls. for text messages you could still use hangout or email as usual. Thanks!",🌊,KP,,jc,hg,lm,💖,✨,,
04.07.25,"Hi everyone, another reminder not to put reduced price with white price gun sticker, please make sure to put red sale sticker on reduced price and only put original price on white price gun sticker as it might mislead customers. If you have read this message please put👍Thanks! ",🌊,KP,,jc,hg,👍,💖,✨,,
03/07/25,Please dont use sticky tape on the door as it leaves marks everywhere. I have put a suction hook for you with the clock sign.,🌊,KP,,jc,hg,lm,💖,✨,,
22/06/25,"Hi Everyone! Just a quick reminder to please keep the store clean and organized throughout the day - and especially before closing. Let's also try to keep the stock neat and arranged depending on how much we have. If there's extra space and not many items, feel free to spread things out or fill the gaps nicely. And when there's a lot of stock but limited space, let's not just squeeze everything in - try to find the best spots for it. Thanks so much, appreciate everyone's efforts! 🙏",🌊,KP,,jc,hg,lm,💖,✨,,
19/6/25,New Koala keyrings - barcode is on the docket printer.,🌊,KP,,jc,hg,lm,💖,✨,,
15.06.25,"Hi girls, I'm running out of ideas on what kind of theme should we change the front display into. If you have an idea please help to change it . Thanks!",🌊,KP,,jc,hg,lm,💖,✨,,i tried to do something with fruits..? i don't know if it goes😔feel free to change 
11/06/25,"Hey guys! I think I may have left my concession opal card in the cupboard last week but not too sure. I couldnt see it today, but if it pops up in the next week please let me know - Lucinda",🌊,KP,,jc,hg,lm,💖,✨,,
04/06,"Hi, we had a customer purchase one each of the kangaroo and capybara touch lamps. She had issues with the battery life being very short (<2hrs), so we have swapped the kangaroo lamp for a new one to see if it is an issue with the batch of lamps, or tho
se specific ones. If the new one is better, she will come back to swap the capybara as well. If not, we will discuss with the manufacturer. Just letting you all know incase she comes in when youre on shift. Her details were: Sri Sustante 0423921808 bewitchedprincess@gmail.com 

14.06.25 She called again today about the kangaroo touch lamp. the one she got as replacement had the same issue. She will come on Monday to return the lamp. When she comes back please offer her exchange with other products/ credit notes. Thank you. 

18.06.25 Both lamps have been returned and exchanged for another product. The returned lamps are in the storage cupboard as not sure what we will do with them (the capybara has no packaging). 

Update: We know that lamps only last 2 hours when charged. She has been let know.",🌊,KP,,jc,hg,lm,💖,✨,,
16/05/25,"Hey team! 😊
I hope everyone's having a great day! I just wanted to share a few quick tips to keep the store looking sharp and tidy as we head into the week. This way, we can make sure all our displays stay neat, and it’ll be easier to spot when things get moved around by customers.

Here are some quick display tips:

- Face all items in the same direction – This will help create a clean, organized look and will make it much easier for us to spot if something's been moved around. (best to keep them facing forward unless there's not enough space)

- Stuff bags and accessories – For items like bags, lunch bags, or toiletry bags, make sure they're stuffed or arranged in a way that shows off their design. It’ll keep them looking neat and make it clear to customers what they’re looking at.

- Use height and layering – Adding height to displays or layering items can help make them more eye-catching and organized.

- Group similar items together – Group products by type, color, or theme to create a sense of order and to make it easier for customers to shop.

- Tidy up as you go – If you spot something out of place, take a moment to straighten it up. It keeps the store looking fresh throughout the week.

Thanks for everyone’s hard work! Let’s keep working together to make sure the store looks great and stays inviting for our customers. 💪",🌊,KP,,jc,hg,lm,💖,✨,,"- Additionally, I'm preparing a Display Guide. You can find it on one of these sheets in Daily File. Feel free to have a look and help me list any items I haven't written yet. Hopefully this guide will help us do better😃"
15/05/2025,"The Lori bags looked really messy in the front. I belive you all can see that. I removed them and put them somewhere else. Put 1 or 2 there is ok but not all of them, plus they all curved as you did not stuff them. They did not look nice at all. NOTE** at least use the same hook on the chain as I saw 3 different ones which made them looked even worse. I have noticed this and always change the hook for you guys. Please pay more attention to the details.",🌊,KP,,jc,hg,lm,💖,✨,,
07/05/25,"Hey! Today a size M, woman, white t-shirt (Fast Food Radicals- Mosterthread), discouted, was not in the system. So I just create a product of $20.00 in order to sell it. For who is in charge on it, please have a look. Thank you!! ",🌊,KP,,jc,hg,lm,💖,✨,,
01/05/25,"Hello, we do have stock of Music Box Parent-child ballet. This is new but I noticed someone put ""sold out"" sign on it. A customer walked past and wanted to purchase one but left as thought we sold out. I did not know which design the customer was talking about until I went to have a look. We also have 1 in store. Before you put sold out sign please check if we have stock in the warehouse. Another design that have ""sold out"" sign is the cat cup cake, this is also new. I just found that stock was not sent to the store due to reorder issue, I fixed it now. However you all should check WH qty. ",🌊,KP,,jc,hg,lm,💖,✨,,
,,,KP,,,,,💖,,,
04.04.25,"Hi, just a small reminder not to turn off wifi switch and always plug in EFTPOS charger when closing the store. Thank you :)",🌊,KP,,jc,hg,lm,💖,✨,,
03.04.25,New felt ornament for Easter. The bags for the display ones are in the middle drawer at the top. ,🌊,KP,,jc,hg,lm,,✨,,
03.04.25,Click & Collect order 39707. Paid. Please let Kaew know after the customer picks up.,🌊,KP,,jc,hg,lm,💖,✨,,
22.03.25,"Monster Club membership loyalty points can now be accessed in Shopify under Customer profile. Please check Shop Manual for more info. Thanks!

https://mail.google.com/mail/u/0/#inbox/FMfcgzQZTgZKWldNKhfvvnwKXlXSBRXs",🌊,KP,,jc,hg,lm,💖,✨,,
14.03.25,"Hi everyone, just a little reminder not to put reduced price with price gun sticker, please make sure to put red sale sticker on reduced price and only put original price on price gun sticker as it might mislead customers ",🌊,KP,,jc,hg,lm,💖,✨,,
06.03.25,"Hi, I know its hard to remember all the designs. However I want to you to make sure that all Halcon Nights are on display please. Today there are 4 designs that not on display at all. I notice this everytime I am in store.",🌊,KP,,jc,hg,lm,💖,✨,,
02.03.25,"Hi, does anyone know where i can find the box for 	
Doiy: Farmers Market Sugar Bowl Orange ? I looked everywhere but couldn't find it 😓😢",🌊,KP,,jc,hg,lm,💖,,,
28.02.25,"Hi everyone, we've just got new stocks of Tinytree houses and USB lights. Please note that we are selling them seperately. Thank you.",🌊,KP,,jc,hg,lm,💖,,,
,Salima Panahi salima.paanahi@gmail.com 0430 012 796 - 59,🌊,,,jc,hg,lm,💖,,,done
17.02.25,"Helloo, I tend to find quite a bit of rubbish like wrappers and even food on the floor when opening😔 please have the floor clean at the end of the day:) thank you!!",🌊,KP,,jc,hg,lm,💖,,,
15.02.25,"I've also just tidied up the gift wrapping paper and bags, try to keep the working bench neat and no need to keep any wrapping paper you think is too small. Thank you!",🌊,KP,,jc,hg,lm,💖,,,
15.02.25,"Hey guys! I've just tidied up the boxes for the mugs, please try to keep them tidy like how they are. If you sell one of the mugs check the barcode before getting the box as they're all organised by the barcodes. Thank you!!",🌊,KP,,jc,hg,lm,💖,,,
14.02.25,"Hey guys, please always double check the stock if we really need to order or if its hiding somewhere in another cabinet. I received lots of shopping bags today which we already have a lot and doesn't have anymore room for the extras. please please always double check what needed to be ordered especially the day before deliveries. Thank you!! 🙏🙏",🌊,KP,,jc,hg,lm,💖,,,
06/02/25,"Thanks everyone for keeping the store looks nice, clean and tidy!!!! - Kaew.",🌊,KP,,jc,hg,,💖,,,
30/1/25,"Please avoiding stacking the brown carton boxes on the top shlef like the photo on the right hand side, it does not look very presentable. At the back of the mug is fine as you do not see it that much. Kaew.",🌊,KP,,jc,hg,,💖,,,
30/1/25,"Please make sure you put security tag on all the plushies, purses and abgas that over $20. There are so mnay that has no tags on them.",🌊,KP,,jc,hg,,💖,,,
23/01/25,"A customer will come in tomorrow to collect, Palm Grasp Set Panda her names Anne Walsh (0409 030 897) Already paid. :)",🌊,KP,,jc,hg,,💖,,,"Done✅, Please put customer requests with all details on cust req tab next time, thanks :)"
21.01.25,New Zeller machine is coming. Once it arrived please send the old one back to the warehouse.,🌊,KP,,jc,hg,,💖,,,"Easy, done!"
16.01.25,The pinned tab is the music box instruction manual :) ,🌊,KP,,jc,hg,,💖,,,
14.01.25,"The bottom shelf for the big plushies was superrr dusty in the space right under the music box stand and was getting some of the plushies really dirty, maybe we should dust there more often!? Also does anyone know how to turn off the speaker on the phone? :)😅",🌊,KP,,jc,hg,,💖,,,"I've always dusted that area during my shift and it gets dusty really quickly. It might be better to do it daily instead of weekly. Also, whenever we have some spare time, could we please lint roll the plushies? Thanks!!"
06.01.25,"Helloo, we had a few technical issues with the wifi and trying to fix the phone today, the phone should be fixed by tomorrow. I've left iinet's reference number next to the phone just in case of more issues :)",🌊,KP,mm,jc,hg,,💖,,,
02.01.25,"Hi everyone, I've moved the business cards away from the front and put them under the computer screen, as they are a business card for Kaew, not the store. Seemed a bit weird to have those ones available for general customers. Please keep these for people who are interested in consignment.",🌊,KP,mm,jc,hg,,💖,,,
31.12.24,Bye everyone!! Thanks for being awesome people to work with and I wish you all the best for the future!! - Moss 🐉💖,🌊,KP,mm,jc,💖🥹,,💖,,,
29.12.24,"Hi, Chrismas decorations/ all xmas related items EXCEPT Music Boxes are now 40% off. some of those items have to be manually marked down on Cin7. Thanks :) ",🌊,KP,mm,jc,hg,,💖,,,
19.12.24,"The plastic covers on the music box display are sadly pretty loose and easy to push, which pushes the music boxes off the magnetic pads if pushed far enough. Please keep an eye on it and correct them when needed. ",🌊,KP,mm,jc,hg,,🥹,,,
18.12.24,"🐼🥳🎉 MONSTERTHREADS NYE/XMAS PARTY!!!!! 🎆🎄🎅
Hey Team, we have organised a New Year's get together. 
Time: 7pm 
Date: Wed, 8th of January 2025
Location: Harbour View Hotel, 18 Lower Fort St, The Rocks NSW 2000 - 10min walk from Circular Quay station
Dress code: happy chissy/new year sparkles 
What to bring: your happy self ",🌊,KP,mm,jc,hg,,💖,,,Regina will be very late 8-8.30pm 🙏
12.12.24,Has anyone seen the Music Box Angel with the broken star? Was it sent back to WH? We have glue now so I was planning to fix it but I can't find it. ,🌊,KP,mm,jc,hg,,💖,,,
5.12.24,Just adding on to Liz's note - does the straw hat in the cupboard belong to anyone?? It was on the counter with no note at the start of this week. If no one claims it I'm taking it up to concerge lost property next week. ,🌊,KP,mm,jc,hg,,💖,,,"My bad!! I found it last week on the floor and put it on the counter in case cust comes back. I totally forgot about it😅😭 -R  all good thankyou for the trests :):):)

I have taken all lost items we have in store to concierge and the lady said we need to send it to them straightaway when we found it. :D "
25.11.24,"The 4 big red lollipops for Gazel are in the bag cupboard behind the counter (don't fit in the cupboard with the other customer requests) She'll be in on Thursday to purchase them. 

Also, please call customer requests when they come in, or leave a note for staff tomorrow to call if run out of time. And PLEASE leave a note if you put cust requests in a spot other than the regual cupboard, I wouldn't have found the lollipops in there if I wasn't putting away bags from today's delivery and noticed them. 

Please don't forget to double check those customer requests at the end of the day in case you missed anything 🙏 ty",🌊,KP,mm,jc,hg,🦆,💖,,,
18.11.24,I've taken the hand painted baubles out of the bags for display. The bags are behind the Orbit Key display.,🌊,KP,mm,jc,hg,🦆,💖,,,
12.11.24,"Hello! Can we please make sure that we are noting down the date when items are put on hold for customers, so we know how long things have been sitting in the cupbaord for and whether to follow up or put back out, etc. It's very helpful to note down as much info as possible so that other staff are aware. 
Also please don't write on the bags so that we can reuse them. Use a piece of paper and stick it on. This also makes it easier to read. Thanks!!",🌊,KP,mm,jc,hg,🦆,💖,,,
11.11.24,"Hi everyone, I noticed the sound was turned off on the Zeller terminal. Please keep the volume turned up, this is extremely helpful/important to make sure that transactions are being approved!!",🌊,KP,mm,jc,hg,🦆,💖,,,
7/11/24,Please make sure you price all the items. Lots of products were not priced.,🌊,KP,mm,jc,hg,🦆,💖,,,
25.10.24,"Hi guys, please remember to write our store needs before stock delivery day (monday and friday). make sure to check the important things like receipt rolls, shopping bags, bubble wrap, duster head, and price gun sticker refill. Thanks 😊",🌊,KP,mm,jc,hg,🦆,💖,,,
15.10.24,"Hi guys, Mastercard is running a promotion that runs until Dec 31st. We have a little sign for them on the front of the counter which can be taken off Jan 1st!",🌊,KP,mm,jc,hg,🦆,💖,,,
14.10.24,Spare salt & pepper shakers and boxes are now in the same cupboard as spare small mushrooms ~ ,🌊,KP,mm,jc,hg,🦆,💖,,,
,"Hi, just confirming this: ""The price will be half the retail price at the time of the return."" for the umbrellas? I got a customers name and phone number so we can call and confirm just because I have never heard of this before but did find it online :)  Samy 0423418802",🌊,KP,mm,jc,hg,🦆,💖,,,"For umbrellas, we don't accept return if it has been used. if in doubt, we can ask NT staff, Kaew, or Lance :D

Has the customer being called? not yet.

Just adding to this we do have a lifetime policy with MT umbrellas - if they bring back a broken umbrella they can get a new one half price. "
1.10.24,"Hi guys, we are now using a Zella instead of CBA eftpos machine. Proceedures are very similar to before! The PIN is 2021 and the password is 'QueenMonster123!' please note you have to login before you print the EOD report. 

So far I think one of the major differences is the way it handles refunds - you can only refund exsisting transactions into the same card. You can't refund a custom amount onto any card like the old machine! From memory you can't refund if they use a gift card (eg. like the Westfield ones)",🌊,KP,mm,jc,hg,🦆,💖,,,
22.09.24,"Hi Everyone, Kaew is going overseas from the 24th September and will be back on 11th October. Feel free to contact me as normal except please use WhatsApp if you need to call so you do not get extra charge. ",🌊,KP,mm,jc,hg,🦆,,,,
29/8/24,Please display bird hangers on the pot as they do not look good laying on the shelf.,🌊,KP,mm,jc,hg,lm,,,,
